Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
NSGAIIa,NMMin,EP,0,0.011821086261980807
NSGAIIa,NMMin,EP,1,0.020447284345047924
NSGAIIa,NMMin,EP,2,0.0515695067264574
NSGAIIa,NMMin,EP,3,0.042172523961661344
NSGAIIa,NMMin,EP,4,0.017891373801916965
NSGAIIa,NMMin,SP,0,0.3341502966900161
NSGAIIa,NMMin,SP,1,0.3092116719123654
NSGAIIa,NMMin,SP,2,0.37672697313881803
NSGAIIa,NMMin,SP,3,0.3508382387589134
NSGAIIa,NMMin,SP,4,0.28527460093679513
NSGAIIa,NMMin,GD,0,9.639496845358246E-4
NSGAIIa,NMMin,GD,1,0.0012024498668589609
NSGAIIa,NMMin,GD,2,7.539992976969524E-4
NSGAIIa,NMMin,GD,3,0.001637422406221393
NSGAIIa,NMMin,GD,4,0.0011152104089070468
NSGAIIa,NMMin,HV,0,0.49323526943693424
NSGAIIa,NMMin,HV,1,0.4938756797579991
NSGAIIa,NMMin,HV,2,0.4934482278706407
NSGAIIa,NMMin,HV,3,0.493640617037084
NSGAIIa,NMMin,HV,4,0.49387383773406496
NSGAIIa,NMMin,NHV,0,0.0018276326038058066
NSGAIIa,NMMin,NHV,1,5.31618458239902E-4
NSGAIIa,NMMin,NHV,2,0.0013966633745120527
NSGAIIa,NMMin,NHV,3,0.0010073206781769928
NSGAIIa,NMMin,NHV,4,5.353462074604298E-4
NSGAIIa,NMMin,IGD,0,5.622384337823506E-4
NSGAIIa,NMMin,IGD,1,6.15162098503894E-4
NSGAIIa,NMMin,IGD,2,0.0013611033938125097
NSGAIIa,NMMin,IGD,3,9.372354418639396E-4
NSGAIIa,NMMin,IGD,4,5.938772343326886E-4
NSGAIIa,NMMin,IGD+,0,0.003250028802478266
NSGAIIa,NMMin,IGD+,1,0.003298292949500564
NSGAIIa,NMMin,IGD+,2,0.004692856939002487
NSGAIIa,NMMin,IGD+,3,0.0038551526614587803
NSGAIIa,NMMin,IGD+,4,0.003129390326291383
