Curso;Unidade de execução;Turno;Turma;asdssssssssss;Inscritos no turno (no 1º semestre é baseado em estimativas);Turnoss com capacidade superior à capacidade das características das salas;Turno com inscrições superiores à capacidade das salas;Dia da Semana;Início;Fim;asd;Dia;Características da sala pedida para a aula;Sala da aula;Lotação;Características reais da sala
ISCTE-IUL, LCP, LHMC, LP, LS, LS-PL, MIA;Língua Espanhola;00670TP02;CI-CT1;13:00:00;23;FALSO;FALSO;Seg;00:00:00;00:00:00;13:00:00;23/11/2015;Sala de Aulas normal;;;
ISCTE-IUL, LCP, LHMC, LP, LS, LS-PL, MIA;Língua Espanhola;00670TP02;CI-CT1;13:00:00;23;FALSO;FALSO;Seg;00:00:00;00:00:00;13:00:00;16/11/2015;Sala de Aulas normal;;;
ISCTE-IUL, LCP, LHMC, LP, LS, LS-PL, MIA;Língua Espanhola;00670TP02;CI-CT1;13:00:00;23;FALSO;FALSO;Seg;00:00:00;00:00:00;13:00:00;09/11/2015;Sala de Aulas normal;;;
ISCTE-IUL, LCP, LHMC, LP, LS, LS-PL, MIA;Língua Espanhola;00670TP02;CI-CT1;13:00:00;23;FALSO;FALSO;Seg;00:00:00;00:00:00;13:00:00;02/11/2015;Sala de Aulas normal;;;
ISCTE-IUL, LCP, LHMC, LP, LS, LS-PL, MIA;Língua Espanhola;00670TP02;CI-CT1;13:00:00;23;FALSO;FALSO;Seg;00:00:00;00:00:00;13:00:00;26/10/2015;Sala de Aulas normal;;;
ISCTE-IUL, LCP, LHMC, LP, LS, LS-PL, MIA;Língua Espanhola;00670TP02;CI-CT1;13:00:00;23;FALSO;FALSO;Seg;00:00:00;00:00:00;13:00:00;19/10/2015;Sala de Aulas normal;;;
DCCo;Tese em Ciências da Comunicação III;02582PL01;;;0;VERDADEIRO;FALSO;;00:00:00;00:00:00;;;;;;
MPP;Marketing Político;01714TP01;MPPA1;22:30:00;12;FALSO;FALSO;Seg;00:00:00;00:00:00;22:30:00;30/11/2015;Sala Aulas Mestrado;;;
MPP;Marketing Político;01714TP01;MPPA1;22:30:00;12;FALSO;FALSO;Seg;00:00:00;00:00:00;22:30:00;23/11/2015;Sala Aulas Mestrado;;;
MPP;Marketing Político;01714TP01;MPPA1;22:30:00;12;FALSO;FALSO;Seg;00:00:00;00:00:00;22:30:00;16/11/2015;Sala Aulas Mestrado;;;
MPP;Marketing Político;01714TP01;MPPA1;22:30:00;12;FALSO;FALSO;Seg;00:00:00;00:00:00;22:30:00;09/11/2015;Sala Aulas Mestrado;;;
MPP;Marketing Político;01714TP01;MPPA1;22:30:00;12;FALSO;FALSO;Seg;00:00:00;00:00:00;22:30:00;02/11/2015;Sala Aulas Mestrado;;;
MPP;Marketing Político;01714TP01;MPPA1;22:30:00;12;FALSO;FALSO;Seg;00:00:00;00:00:00;22:30:00;26/10/2015;Sala Aulas Mestrado;;;
MPP;Marketing Político;01714TP01;MPPA1;22:30:00;12;FALSO;FALSO;Seg;00:00:00;00:00:00;22:30:00;19/10/2015;Sala Aulas Mestrado;;;
MPP;Marketing Político;01714TP01;MPPA1;22:30:00;12;FALSO;FALSO;Seg;00:00:00;00:00:00;22:30:00;12/10/2015;Sala Aulas Mestrado;;;
MPP;Marketing Político;01714TP01;MPPA1;22:30:00;12;FALSO;FALSO;Seg;00:00:00;00:00:00;22:30:00;05/10/2015;Sala Aulas Mestrado;;;
MPP;Marketing Político;01714TP01;MPPA1;22:30:00;12;FALSO;FALSO;Seg;00:00:00;00:00:00;22:30:00;28/09/2015;Sala Aulas Mestrado;;;
LG;Contabilidade Financeira I;L0638-2T01;GAi;12:30:00;30;FALSO;FALSO;Ter;00:00:00;00:00:00;12:30:00;15/12/2015;Sala de Aulas normal;;;
LG;Contabilidade Financeira I;L0638-2T01;GAi;12:30:00;30;FALSO;FALSO;Ter;00:00:00;00:00:00;12:30:00;01/12/2015;Sala de Aulas normal;;;
LG;Contabilidade Financeira I;L0638-2T01;GAi;12:30:00;30;FALSO;FALSO;Ter;00:00:00;00:00:00;12:30:00;24/11/2015;Sala de Aulas normal;;;
LG;Contabilidade Financeira I;L0638-2T01;GAi;12:30:00;30;FALSO;FALSO;Ter;00:00:00;00:00:00;12:30:00;17/11/2015;Sala de Aulas normal;;;
LG;Contabilidade Financeira I;L0638-2T01;GAi;12:30:00;30;FALSO;FALSO;Ter;00:00:00;00:00:00;12:30:00;10/11/2015;Sala de Aulas normal;;;
